student_id,ports
604917650,12250 12251 12252 12253 12254
404927155,12570 12571 12572 12573 12574
305104425,12195 12196 12197 12198 12199
304907539,12345 12346 12347 12348 12349
005097266,11970 11971 11972 11973 11974
405098891,11755 11756 11757 11758 11759
705199445,12210 12211 12212 12213 12214
304938338,12300 12301 12302 12303 12304
005108972,12265 12266 12267 12268 12269
905187210,12485 12486 12487 12488 12489
005104177,11665 11666 11667 11668 11669
705111075,11710 11711 11712 11713 11714
405176266,11400 11401 11402 11403 11404
304972563,11455 11456 11457 11458 11459
504822474,12400 12401 12402 12403 12404
305099495,11810 11811 11812 11813 11814
705120273,12090 12091 12092 12093 12094
905101320,12545 12546 12547 12548 12549
704970642,12330 12331 12332 12333 12334
305082206,11675 11676 11677 11678 11679
605111090,11775 11776 11777 11778 11779
505103854,11735 11736 11737 11738 11739
305110474,11575 11576 11577 11578 11579
705180083,11895 11896 11897 11898 11899
105158594,11865 11866 11867 11868 11869
805322044,11595 11596 11597 11598 11599
104923663,12310 12311 12312 12313 12314
805355421,12285 12286 12287 12288 12289
704800126,11925 11926 11927 11928 11929
104977892,11955 11956 11957 11958 11959
904733541,12580 12581 12582 12583 12584
605098442,12245 12246 12247 12248 12249
605186231,11515 11516 11517 11518 11519
404982180,12020 12021 12022 12023 12024
604981556,12590 12591 12592 12593 12594
904064791,11870 11871 11872 11873 11874
005084947,11940 11941 11942 11943 11944
005186314,11480 11481 11482 11483 11484
705355011,11520 11521 11522 11523 11524
305366403,12350 12351 12352 12353 12354
105347991,11980 11981 11982 11983 11984
804938473,12065 12066 12067 12068 12069
405098872,12440 12441 12442 12443 12444
805113516,11685 11686 11687 11688 11689
905141316,11900 11901 11902 11903 11904
903814010,12165 12166 12167 12168 12169
304965058,12000 12001 12002 12003 12004
905203248,12055 12056 12057 12058 12059
604929653,12215 12216 12217 12218 12219
605110062,11435 11436 11437 11438 11439
804962948,12060 12061 12062 12063 12064
505084209,12180 12181 12182 12183 12184
505366341,11680 11681 11682 11683 11684
304985768,11995 11996 11997 11998 11999
004984968,12530 12531 12532 12533 12534
605197362,12450 12451 12452 12453 12454
105116127,12050 12051 12052 12053 12054
205133536,11610 11611 11612 11613 11614
604989029,12200 12201 12202 12203 12204
704980453,12560 12561 12562 12563 12564
704927385,11875 11876 11877 11878 11879
405171527,12175 12176 12177 12178 12179
605119072,11410 11411 11412 11413 11414
804836969,12340 12341 12342 12343 12344
404917222,11510 11511 11512 11513 11514
405006387,11990 11991 11992 11993 11994
505111806,11670 11671 11672 11673 11674
604598422,11745 11746 11747 11748 11749
305125178,12325 12326 12327 12328 12329
305110285,11795 11796 11797 11798 11799
405124630,11760 11761 11762 11763 11764
405110096,12525 12526 12527 12528 12529
405204325,11820 11821 11822 11823 11824
305182649,11700 11701 11702 11703 11704
304686774,12360 12361 12362 12363 12364
104917129,12040 12041 12042 12043 12044
205125796,11910 11911 11912 11913 11914
505147155,12275 12276 12277 12278 12279
004899710,12135 12136 12137 12138 12139
605128528,12220 12221 12222 12223 12224
705124474,12115 12116 12117 12118 12119
105125805,11450 11451 11452 11453 11454
604750240,12110 12111 12112 12113 12114
504969381,12495 12496 12497 12498 12499
605140592,11565 11566 11567 11568 11569
005084080,12225 12226 12227 12228 12229
705106559,12280 12281 12282 12283 12284
604892225,12500 12501 12502 12503 12504
505156456,11805 11806 11807 11808 11809
405200619,12240 12241 12242 12243 12244
505193010,11815 11816 11817 11818 11819
004997466,11825 11826 11827 11828 11829
705313832,11660 11661 11662 11663 11664
804984337,12465 12466 12467 12468 12469
505022546,12385 12386 12387 12388 12389
605172088,11640 11641 11642 11643 11644
905355388,11945 11946 11947 11948 11949
705091157,12390 12391 12392 12393 12394
005131227,11440 11441 11442 11443 11444
905123478,11445 11446 11447 11448 11449
105136031,12205 12206 12207 12208 12209
504995907,11585 11586 11587 11588 11589
705367943,12045 12046 12047 12048 12049
104746627,12305 12306 12307 12308 12309
605184345,12420 12421 12422 12423 12424
905108982,12120 12121 12122 12123 12124
204910863,12145 12146 12147 12148 12149
505114659,12445 12446 12447 12448 12449
004940413,11720 11721 11722 11723 11724
005179648,12190 12191 12192 12193 12194
005111192,12435 12436 12437 12438 12439
105117080,11890 11891 11892 11893 11894
104926567,11850 11851 11852 11853 11854
404929140,12490 12491 12492 12493 12494
505180791,12370 12371 12372 12373 12374
604922996,12555 12556 12557 12558 12559
304914196,12595 12596 12597 12598 12599
505129076,12540 12541 12542 12543 12544
604930406,12335 12336 12337 12338 12339
805169136,12295 12296 12297 12298 12299
105127927,11780 11781 11782 11783 11784
304925492,12515 12516 12517 12518 12519
505358379,11730 11731 11732 11733 11734
704932004,11790 11791 11792 11793 11794
804993073,12035 12036 12037 12038 12039
405154429,12255 12256 12257 12258 12259
405101723,12415 12416 12417 12418 12419
204916327,11965 11966 11967 11968 11969
105111196,11485 11486 11487 11488 11489
205173476,11840 11841 11842 11843 11844
305115848,12230 12231 12232 12233 12234
705185066,11905 11906 11907 11908 11909
205359993,12535 12536 12537 12538 12539
604924943,12010 12011 12012 12013 12014
405160897,11855 11856 11857 11858 11859
204769086,11635 11636 11637 11638 11639
605206804,11725 11726 11727 11728 11729
205155986,12460 12461 12462 12463 12464
904756486,11550 11551 11552 11553 11554
805152956,11880 11881 11882 11883 11884
304827444,12160 12161 12162 12163 12164
405180937,12155 12156 12157 12158 12159
804997981,11935 11936 11937 11938 11939
904994468,12075 12076 12077 12078 12079
205092357,11490 11491 11492 11493 11494
905086254,11430 11431 11432 11433 11434
205140103,12100 12101 12102 12103 12104
005144135,11770 11771 11772 11773 11774
105190594,11800 11801 11802 11803 11804
705153819,11580 11581 11582 11583 11584
605101374,12235 12236 12237 12238 12239
104757423,11715 11716 11717 11718 11719
904795746,11630 11631 11632 11633 11634
205097699,12015 12016 12017 12018 12019
505107423,11505 11506 11507 11508 11509
404925279,12520 12521 12522 12523 12524
505136500,12425 12426 12427 12428 12429
405118629,11930 11931 11932 11933 11934
405000941,12355 12356 12357 12358 12359
905125793,12315 12316 12317 12318 12319
704963991,11415 11416 11417 11418 11419
404804135,12030 12031 12032 12033 12034
305109611,12575 12576 12577 12578 12579
704974683,12270 12271 12272 12273 12274
305108348,11475 11476 11477 11478 11479
505114013,11620 11621 11622 11623 11624
705104763,11605 11606 11607 11608 11609
505133276,11460 11461 11462 11463 11464
304815120,11650 11651 11652 11653 11654
805181505,11615 11616 11617 11618 11619
904994581,11705 11706 11707 11708 11709
005183495,12105 12106 12107 12108 12109
605140530,11535 11536 11537 11538 11539
804806830,11465 11466 11467 11468 11469
405107904,11920 11921 11922 11923 11924
105083037,11950 11951 11952 11953 11954
505116333,12140 12141 12142 12143 12144
305107080,12430 12431 12432 12433 12434
305210826,11425 11426 11427 11428 11429
104651247,12375 12376 12377 12378 12379
805061659,12405 12406 12407 12408 12409
405209455,12550 12551 12552 12553 12554
505314639,12150 12151 12152 12153 12154
105205656,12395 12396 12397 12398 12399
904995934,12475 12476 12477 12478 12479
505203472,11560 11561 11562 11563 11564
604925688,12410 12411 12412 12413 12414
905129084,11765 11766 11767 11768 11769
704841645,11740 11741 11742 11743 11744
404970827,11785 11786 11787 11788 11789
205117980,11695 11696 11697 11698 11699
605126685,11540 11541 11542 11543 11544
705192892,12470 12471 12472 12473 12474
605109916,11500 11501 11502 11503 11504
905164685,12005 12006 12007 12008 12009
805126123,11625 11626 11627 11628 11629
605159157,11985 11986 11987 11988 11989
804924584,11915 11916 11917 11918 11919
405346443,12260 12261 12262 12263 12264
204766827,12480 12481 12482 12483 12484
705103508,12320 12321 12322 12323 12324
105182320,12130 12131 12132 12133 12134
304787184,12585 12586 12587 12588 12589
405112076,12125 12126 12127 12128 12129
505006773,12505 12506 12507 12508 12509
705190671,11555 11556 11557 11558 11559
604933481,11420 11421 11422 11423 11424
004993345,12085 12086 12087 12088 12089
905154257,11645 11646 11647 11648 11649
105114798,12025 12026 12027 12028 12029
605147145,11750 11751 11752 11753 11754
305099669,11860 11861 11862 11863 11864
705140365,11600 11601 11602 11603 11604
804997146,12080 12081 12082 12083 12084
